Date,Close,News
02/01/2012,3602.5,"SBI achieves 100% financial inclusion in AP circle: State Bank of India (SBI) has achieved 100% coverage of its allotted unbanked villages in Andhra Pradesh under the Financial ... || IDFC mops up Rs 533 cr from tax-saving infra bonds: Infrastructure Development Finance Company (IDFC) today said it had raised Rs 532.6 crore through an issue tax-saving ... || Lenders not worried, say capital conservation is key: Domestic banks will not be as affected as their developed world peers by Basel-III norms and conserving capital will be the key ... || Switching banks without changing a/c number soon: Customers may soon be allowed to switch banks without changing account numbers. After similar moves in mobile telephony and ... || Reforms marked 2011 for insurance sector: After a long wait and prolonged consultation with stakeholders, the Insurance Regulatory and Development Authority (Irda) finally ..."
03/01/2012,3700.800049,"RBI to buy Rs 12,000 cr govt securities: The Reserve Bank of India (RBI) today announced it would purchase government securities worth Rs 12,000 crore on Friday through ... || Banks to require up to Rs 2.7 lakh cr under Basel III: Crisil: If the Basel III guidelines are implemented as per the proposed deadline set by the Reserve Bank of India (RBI), banks will ... || Bank of Maharashtra to be recapitalised this fiscal: Public sector lender Bank of Maharashtra (BoM) today said it expected a capital infusion by the government this fiscal as it had ... || Savings bank a/c number portability on anvil: FinMin: The Finance Ministry is working on savings banks account number portability, which will allow a customer to retain his account ... || SBI to use BCs for farm loan recovery: Achieves total financial inclusion in Andhra Pradesh. || Jacob Ballas set to invest Rs 200 cr in Religare Finvest : NYLIM Jacob Ballas India Fund III LLC (Jacob Ballas Fund) will invest Rs 200 crore in Religare Finvest Limited (RFL), the NBFC ... || Cap NBFCs' bank borrowings for financial stability: RBI study: A cap on borrowing by non-banking financial companies (NBFCs) from banks may strengthen the financial system. According to a ... || Banks revise FCNR(B) deposit rates: As part of their efforts to raise more foreign currency resources from Indians abroad, commercial banks have revised rates on ... || After the pause, RBI governor hints at soft monetary policy: Concerned over declining growth, Reserve Bank of India (RBI) governor D Subbarao has indicated the central bank could reverse the ... || Banks step in to help India Inc repay European debt: Govt says no crisis as European banks’ India exposure just $18 billion. || ICICI takes ultra-small route for big plans on inclusion: Move to enable bank to process transactions faster than under the BC model. || PFC bonds emulate NHAI success: The success of the tax-free bond issue by the National Highways Authority of India (NHAI) has been repeated by Power Finance ... || Govt considers 2 for Irda life member: Sahay is the chief executive and managing director, Star Union Dai-ichi Life Insurance, while Roy Chowdhury is executive director ... || Volatility marred Oct-Dec qtr : Fears of excess supply of government debt papers kept markets on tenterhooks. || Asia's currency sword: The roller-coaster ride for Asian currencies, which saw only the yen and yuan post significant gains for the year against the US ..."
04/01/2012,3695.050049,"Irda issues uniform norms to ensure solvency of insurance cos: The Insurance Regulatory and Development Authority (Irda) today introduced uniform asset-liability management norms for market ... || General insurance industry faces Rs 10,000 cr hit in FY12: Irda to raise provisioning norms to 163-213 per cent. || SBI calls off biz  plan with Visa and Elavon: The country’s largest lender State Bank of India (SBI) has called off talks with Visa Inc and Elavon Inc to form a joint ... || No negative impact of extra govt borrowings: India Inc is not afraid of being crowded out of the corporate bond market despite the government’s announcement of extra Rs ... || RBI nixes banks' subsidiary plans: Bank of India, South Indian Bank, Lakshmi Vilas Bank’s proposals rejected, to add to the earlier ones of ICICI Bank and ... || Banks start year with sale of covered bonds: UBS AG, Switzerland’s biggest bank and a unit of ING Groep NV, started the New Year by selling top-rated covered bonds to ... || US regulators embrace  zero-risk Greek bonds: US regulators, required by Congress to remove credit ratings from banking rules, have devised a plan anchored in a Paris-based ... || Reserve Bank allows revision of govt- securities price band: The Reserve Bank of India (RBI) allowed relaxation of price band limits of government securities that were traded on Monday. ... || Basel-III norms may moderate banks' return on equity: According to Crisil, banks may need to raise Rs 2.7 lakh cr for capital adequacy ratio. || AllBank hikes interest rates on NRE term deposits: Allahabad Bank has decided to increase interest rates on NRE (Ruppee)term deposits with effect from January 4 for the following ..."
05/01/2012,3696.149902,"PSU banks to get Rs 17K-cr capital infusion in FY12: The Finance Ministry is likely to infuse Rs 17,000 crore into public sector banks in the current fiscal to help them meet their ... || RBI raises FCCB limit to $750 mn: The Reserve Bank of India (RBI) today raised the annual limit of Foreign Currency Convertible Bonds (FCCBs) for companies to $750 ... || UCO Bank to auction up to Rs 400 cr of NPAs: UCO Bank will hold open auction next week for sale of Rs 300 crore to Rs 400 crore non-performing assets (NPA). || SBI may get up to Rs 6,000 cr capital infusion: State Bank of India (SBI), the country's largest lender, today said it was likely to get a capital infusion of up to Rs 6,000 ... || Bankers, experts expect interest rates to fall by 1%: Auto and home loan borrowers can expect some relief soon as banks and the Reserve Bank of India (RBI) are likely to go for a 1 ... || RBS, Societe Generale may cut over 11,500 jobs: More than 11,500 banking jobs could be axed globally as a result of separate restructuring initiatives being undertaken by two ... || Negative outlook for asset classes in 2012, says Fitch: Fitch has changed the performance outlook across various asset classes from stable to negative, especially for commercial vehicle ... || Follow rules on loan application: RBI: Taking serious note of complaints from the micro, small and medium enterprises (MSME) sector on non-acknowledgment of loan ... || Govt whips PSBs for priority sector lending target slippages: Disallows capital for going to low-yield assets, wants details of priority lending plan this year. || Forget about pension plans, there's none available anyway: If you plan to buy a pension plan as a part of your tax-saving exercise, you need to wait. The reason is simple: there are just ... || Subbarao's multi-recipe problem: The Reserve Bank of India (RBI) has hinted at reversing its tight monetary stance after almost two years of continuous ... || India Inc raises $1.6 bn via ECBs in Nov 2011: Under the automatic route, 78 companies raised $ 1.3 billion. ONGC Mangalore Petrochem raised $250 million and Tata Teleservices ... || Post office savings scheme  rates to be fixed: FinMin: The Union government on Wednesday said interest rates on post office savings schemes, except the Public Provident Fund (PPF), ... || Banks likely to report another subdued quarter: Banks may have a subdued third quarter 2011-12, according to analysts and bankers, with the growing burden of bad loans, ... || Reviving loan growth to top agenda in RBI-bankers meet: Central bank to seek feedback from banks on liquidity situation, deposit growth and recent policy changes. || Star Union Dai-chi to double staff : Star Union Dai-chi Life Insurance Co Limited (SUD Life), a joint venture of Bank of India, Union Bank of India and Japan-based ... || Star Union Dai-ichi Life bullish on central market: Star Union Dai-ichi Life Insurance (SUD Life) is bullish on the upcountry market, especially Uttar Pradesh, Bihar and Jharkhand ... || Greek, Italian cash heads for hills, or under pool: Greeks and Italians are taking their money and running, moving it abroad or even burying it underground, for fear the euro zone ... || JPMorgan sued for $95 mn: JPMorgan Chase & Co has been sued for $95 million by the trustee for securities marketed in 2005 by the former Bear Stearns ..."
06/01/2012,3694.800049,"Short-term growth sacrifice inevitable in inflation fight: RBI: While moderate inflation is essential for economic expansion, some short-term sacrifice in growth is inevitable for the sake of ... || Forex reserves slip below $300-bn mark: Foreign exchange reserves continued their slide for the second consecutive week, falling by over $4.18 billion to $296.69 ... || Banks facing more challenges in current environment: RBI: Banks worldwide are facing more challenges in the current economic environment and while macro-sustainability is a necessity, it ... || Bank of India says Kingfisher loan 'sub-standard': The troubles of cash-strapped Kingfisher Airlines worsened today with another lender classifying its loan to the Vijay ... || Credit offtake to pick up in current quarter: Andhra Bank: State-run Andhra Bank today said it is expecting credit offtake, which has been hovering around 7% so far this fiscal, to pick up ... || RBI buys bonds worth Rs 8,471 cr under OMO: As part of the strategy to infuse liquidity in the system, the Reserve Bank of India (RBI) today bought bonds worth Rs 8,471.45 ... || Banks' deteriorating NPAs a concern: Pranab: Voicing concerns over ""deteriorating assets quality"" in the banking sector, Finance Minister Pranab Mukherjee today ... || Public sector banks averse to taking part in disinvestment: Public sector banks, including State Bank of India (SBI), have advised the government against stake sale in the Central Public ... || SBI classifies its Kingfisher Airlines exposure as NPA: Regulator gives airline 3 days to ready financial recovery & safety plan. || Performance anxiety grips pvt equity stars: Many scale down fund-raising, some shut shop. || UCO Bank to auction up to Rs 400 cr of NPAs: UCO Bank will hold open auction next week for sale of Rs 300 crore toRs 400 crore non-performing assets (NPA). || Rajat Gupta says Rajaratnam lies: Ex-Goldman Sachs Group Inc. (GS) director Rajat Gupta is trying to bolster his defense to federal insider- trading charges by ... || Sequoia Capital & ICICI Venture pump Rs 50 cr into Star Health: Private equity investors, ICICI Venture and Sequoia Capital along with Oman Insurance have infused Rs 50 crore into Chennai-based ... || France seeks lower yield at bond sale: France plans to sell as much as euro 8 billion ($10.4 billion) of debt today in the country’s first test this year of ... || SWAWS' promoters willing to give up majority stake to restructure debt: The promoters of SWAWS Credit Corporation, a Secunderabad-based microfinance institution, are willing to give up majority stake ... || Feedback sought on new motor insurance law : Govt prepares draft on Kaul panel report, may table Bill in next Parliament session. || India Inc should hedge  actual risk exposure as base case strategy: RBI: Executive director of Reserve Bank of India V K Sharma, on Thursday said that corporate India should invariably hedge their ... || RBI eases foreign borrowing norms for smaller players: In a move to liberalise foreign borrowing norms for smaller firms, the Reserve Bank of India (RBI) has reduced the minimum ... || SREI to raise Rs 300 cr via tax-saving bonds in first tranche: SREI Infrastructure Finance has come out with a maiden issue of tax -saving bonds and would be looking to raise up to Rs 300 ... || Gokarn signals interest rates may have peaked, inflation a factor: Says RBI’s currency intervention seems to have achieved intended purpose. || Banks may need capital to meet Basel III: Private-sector banks in India may need to raise a few trillion rupees of capital to meet Basel III norms, Anand Sinha, a deputy ..."
07/01/2012,,"LIC HF to take equity in residential projects: LIC Housing Finance Ltd, the housing finance arm of life insurance major LIC of India, on Friday said, it is look-ing to invest ... || Basel-III requires more time for implementation: The upcoming Basel III guidelines will require more time if it seeks to improve the ability of banks, said Anand Sinha, deputy ... || Apex bank buys bonds worth Rs 8,471 cr: While the government security (G-Sec) maturing 2017, with a coupon rate of 8.07 per cent, garnered over Rs 1,346.08 crore, the ... || Take long-term forward cover on forex exposure: RBI: India Inc must take long-term forward cover to reduce the risks from volatility in foreign exchange rates, is the Reserve Bank of ... || India's forex reserves decline to 1-year low: India’s foreign exchange reserves touched a one-year low on December 30, according to the Reserve Bank of India (RBI). The ... || RBI asks banks to issue fund transfer receipts: Taking note of non-adherence by some banks to rules on sending confirmation of payments made through the National Electronic ... || PFC revives plan to raise $1 bn: Power Finance Corporation (PFC) has revived its plan to raise $1 billion via medium-term notes (MTN). The power sector lender, ... || Irda blames insurers for pension plan vacuum: Says delay in approving new pension schemes is due to late product filing by firms. || India's forex reserves fall to Rs -yr low: India’s foreign exchange reserves touched a one-year low on December 30, according to the Reserve Bank of India. The ... || Crisil assigns highest rating to MCX IPO: Credit rating agency Crisil has assigned the highest (5/5) grade to the proposed initial public offer (IPO) of India’s ... || Five more MFIs seek debt restructuring: Urge RBI to temporarily relax banks’ provisioning requirements and avoid classifying loans given to them as bad assets. || REC to raise  up to $250 mn in yen loans: Rural Electrification Corporation (REC) will now go the Japanese way to raise funds. || IOB gets Rs 100 cr MSME funding from Sidbi : Indian Overseas Bank (IOB) on Friday received Rs 100 crore from Small Industries Development Bank of India (Sidbi), as part of ... || US Exim Bank looks at $2 bn fresh loan: The Export-Import Bank of the United States of America (US Exim Bank) is looking to diversify its loan portfolio in India while ..."
09/01/2012,3701.300049,"Rate cut likely to spurt economy: Kochhar: Interest rates are likely to see a possible downward trend in the current year which will support growth prospects of the ... || RBI's Basel-III norms more conservative: Moody's: Rating agency Moody's today said the Reserve Bank of India's (RBI) draft guidelines for adoption of Basel-III norms, which seek ... || Insurers seek Irda nod for 22 revised pension products: Insurance companies have approached the Insurance Regulatory and Development Authority (Irda) for review of 22 pension products ... || Dhanlaxmi Bank enters silver retailing business: Dhanlaxmi Bank today entered the silver retailing business with the launch of ‘Dhan’ silver bars. The silver bars ... || Auditors should work to cope with new risks: RBI: Accounting professionals and auditors of banks have to gear up to cope with newer risks and shocks in the banking and financial ... || PNB to rope in Boston Consulting Group for revamping operations: Punjab National Bank (PNB) has zeroed on Boston Consulting Group (BCG) to advise on reworking its operating model, human ... || Govt bond yields likely to stay at present level: The yield on government bonds may stay at present levels, consolidating a trend of drop seen last Friday. || Swiss central bank chief quits over currency deal: Swiss central bank chief Philipp Hildebrand resigned on Monday in the face of growing criticism of a controversial currency trade ... || RBI may cut CRR this month: Keki Mistry: Housing Development Finance Corp expects the RBI to cut the cash reserve ratio, rather than interest rates, at its monetary ..."
10/01/2012,3785.350098,"Banks can go below basel levels during crisis: Banks will be allowed go below minimum liquidity levels set by global regulators during financial crises to avoid cash-flow ... || IT gained the most on falling rupee: CARE: The information technology (IT) sector in India made the most out of the falling exchange rate of rupee in the last five months ... || Government to have two nominees on RBI board: Move to increase coordination with central bank. || RBI may cut CRR in Q3 policy review: HDFC vice-chairman: As first step indicating easy monetary policy, the Reserve Bank of India may cut the cash reserve ratio (CRR), rather than reduce ... || Nabard launches package for handloom weavers: The National Bank for Agriculture and Rural Development (Nabard) on Monday announced the launch of a new centrally-sponsored ... || We are in a more dangerous situation than in 2008: Soros: The ongoing sovereign-debt crisis in the Eurozone is much more serious than the global financial meltdown of 2008. If the ... || Pay for inoperative a/c, cash deposits: You will now have to pay if you don't operate your savings or current account for a year. HDFC Bank, the second largest private ... || Tax-saving bonds find little favour with investors: Tax-saving bonds seem to have become an opportunity wasted for the government, which is struggling to raise funds for its ... || Draghi may copy Bernanke on path to low rates: European Central Bank President Mario Draghi may act more like Ben S. || Get ready to pay more for auto cover as insurers set to raise premium: Rates may increase 40-50% for commercial vehicles and 20-25% for for private vehicles. || L&T Infra Fin to raise at least Rs 300 cr: L&T Infrastructure Finance will be looking to raise at least Rs 300 crore by way of issuing the second tranche of tax-saving ... || Banks may cut rates if funding costs fall: IBA: India's lenders may lower interest rates if their funding costs come down, but banks have not suggested any specific steps at a ..."
11/01/2012,3805.5,"Govt to infuse Rs 6,000 cr in SBI via pref issue: The government has agreed to infuse fresh capital into State Bank of India through a preferential issue and the country's largest ... || 3i Infotech heads for debt rejig: Tight liquidity conditions propel decision, in wake of adverse revenue and cost trends in recent years. || Top rupee forecasters see rebound on bond inflows : International investment in India’s bonds would rise this year as policy makers rein in inflation, boosting the rupee after ... || United India to manage TN`s health insurance: The Tamil Nadu government has awarded the state government-sponsored health insurance contract to public sector general insurer ... || Banks reject AI debt recast: Say no to equity, want upfront capital infusion; SBI Caps to give fresh proposal. || Just 40% of India Inc's forex loans are hedged: Half the funds raised by firms through ECBs funded by Indian banks. || Moody's upgrades short-term ceiling on foreign currency: The Union finance ministry on Tuesday said Moody’s Investor Services had, in addition to the three upgrades on December 20 ... || IndusInd Bank net up 34% in Q3: IndusInd Bank reported growth of 34 per cent in net profit on the back of robust core fee income for October-December 2011. The ... || Andhra MFIs seek time to meet capital adequacy norms: Microfinance institutions in Andhra Pradesh have urged the Reserve Bank of India (RBI) to allow them more time to meet the new ... || High NRE deposit rates may stress banks' margins: RBI: The Reserve Bank of India (RBI) has cautioned banks that the rush to raise non-resident deposit rates may shrink their margins ... || Slipping below 16% in FY12: Seek cut in cash reserve ratio, repo rate in pre-policy meet. || Muthoot Fincorp to dilute 5-6% stake to PE investors: Muthoot Fincorp Ltd, is looking to dilute five-six per cent stake to private equity (PE) players or strategic investors. || RBI unlikely to cut CRR in policy review, say bankers: The Reserve Bank of India has hinted that a cut in the cash reserve ratio, or CRR, was unlikely in its monetary policy review on ..."
12/01/2012,3797.399902,"LIC Home Finance launches Rs 500 cr VC fund: Life Insurance Corporation's housing finance arm LIC Housing Finance (LICHFL) today launched a Rs 500-crore venture capital fund ... || Credit card transaction value up 14.4% in Nov: Credit card transactions carried out in November, 2011 were worth Rs 7,920 crore, up 14.4% from that in the same month last year, ... || Interest subvention scheme tricks home buyers: Monica and Sameer were in for a rude surprise when they received a letter from the housing company in which they had booked a ... || State Bank of India's NPAs down in Dec: Despite the loans extended to Kingfisher Airlines being declared as non performing assets (NPAs) — even as a part of these ... || Govt to infuse Rs 6k cr in SBI via preferential issue: Chaudhuri: The government has agreed to infuse fresh capital into State Bank of India (SBI) through a preferential issue and the ... || SBI says it's focusing on NPAs: The State Bank of India on Wednesday said it was more comfortable on the issue of non-performing assets (NPAs) in the past month ... || Bank loans up 10.8% in Apr-Dec: Leaves banks with an uphill task of disbursing Rs 2.8 lakh cr in the rest of the financial year. || After 6 months, India Inc revives its dollar dreams: India Inc is slowly coming back on track on raising funds abroad, with a more than $2 billion mop-up expected in the next three ... || Marginal impact of rupee fall on India Inc: Fitch: Indian companies, which are rated on international scale do not risk a major drop in their operating margins, says Fitch. The ... || Banks move to recast power sector loans: There is some current good news, from banks, for those who despair of state-run electricity distribution utlilities setting their ... || Age barrier for health policies may go: Regulator as well as insurers keen on such policies, but pricing may be a trouble. || RBI cracks the whip on overseas banks: The regulator said these transactions are partly responsible for sharp depreciation in the rupee against the dollar."
